1316,Agni College of Technology, Chengalpattu  ,ARTIFICIAL INTELLIGENCE AND,149.5,132.5,118.5,133,129,,
1317,St. Joseph's College of Engineering (Autonomous), Chennai  ,ARTIFICIAL INTELLIGENCE AND,180,171,165.5,171,140.5,---,120.5
1318,T.J Institute of Technology, Chennai  ,ARTIFICIAL INTELLIGENCE AND,95,,,***,,,
1319,Thangavelu Engineering College, Chennai  ,ARTIFICIAL INTELLIGENCE AND,124.5,***,***,***,***,123,
1322,Dhanalakshmi Srinivasan College of Engineering and Technology, Chennai  ,ARTIFICIAL INTELLIGENCE AND,134.5,104.5,118,111.5,87,,
1324,Sri Sai Ram Institute of Technology (Autonomous), Chennai  ,ARTIFICIAL INTELLIGENCE AND,172.5,166.5,159.5,163,141.5,,
1325,St. Joseph College of Engineering Trinity Campus, Kancheepuram  ,ARTIFICIAL INTELLIGENCE AND,146.5,113.5,127.5,123.5,100.5,,
1398,Chennai Institute of Technology and Applied Research, Chennai  ,ARTIFICIAL INTELLIGENCE AND,187.5,182,180.5,183.47,163.5,152.5,
1399,Chennai Institute of Technology (Autonomous), Chennai  ,ARTIFICIAL INTELLIGENCE AND,193.5,191,190,189.5,177.5,165.51,140
1405,Dhanalakshmi College of Engineering, Chennai  ,ARTIFICIAL INTELLIGENCE AND,140,126,107.5,118,***,,
1407,G K M College of Engineering and Technology, Chennai  ,ARTIFICIAL INTELLIGENCE AND,130,***,,***,97,,
1408,I F E T College of Engineering (Autonomous), Villupuram  ,ARTIFICIAL INTELLIGENCE AND,168,150,149,155.5,94,,
1409,Karpaga Vinayaga College of Engineering and Technology, Chengalpattu  ,ARTIFICIAL INTELLIGENCE AND,149,131.5,147.5,135,120.5,,
1411,Madha Engineering College, Chennai  ,ARTIFICIAL INTELLIGENCE AND,140.475,***,,***,***,,
1412,Mailam Engineering College, Villupuram  ,ARTIFICIAL INTELLIGENCE AND,165.5,142.5,164.5,151.5,106.25,---,
1413,Sri Venkateswaraa College of Technology, Kancheepuram  ,ARTIFICIAL INTELLIGENCE AND,148,117,119.5,115.5,***,,
1416,Jaya Sakthi Engineering College, Chennai  ,ARTIFICIAL INTELLIGENCE AND,108.5,***,,,***,,
1419,Sri Sai Ram Engineering College (Autonomous), Chennai  ,ARTIFICIAL INTELLIGENCE AND,180,173.5,172.5,168.5,143.5,---,
1420,Tagore Engineering College, Chennai  ,ARTIFICIAL INTELLIGENCE AND,150,123,135,121,110,,
1422,SRM Valliammai Engineering College (Autonomous), Chennai  ,ARTIFICIAL INTELLIGENCE AND,179.5,174,176,176,157,139.5,
1423,Asan Memorial College of Engineering and Technology, Chengalpattu  ,ARTIFICIAL INTELLIGENCE AND,133,***,,107,,,
1424,Dhaanish Ahmed College of Engineering, Chennai  ,ARTIFICIAL INTELLIGENCE AND,140.5,***,138.5,***,,,
1431,New Prince Shri Bhavani College of Engineering and Technology (Autonomous), Chennai  ,ARTIFICIAL INTELLIGENCE AND,144,134.5,137.5,124.5,120.5,,
1432,Rajalakshmi Institute of Technology (Autonomous), Chennai  ,ARTIFICIAL INTELLIGENCE AND,189,183,182,176.5,153,130.5,
1434,Surya Group of Institutions, Villupuram  ,ARTIFICIAL INTELLIGENCE AND,122,***,120.5,***,***,,
1437,Rrase College of Engineering, Kancheepuram  ,ARTIFICIAL INTELLIGENCE AND,138,***,117,115.5,110.5,,
1441,A K T Memorial College of Engineering and Technology, Kallakurichi  ,ARTIFICIAL INTELLIGENCE AND,125,***,123,***,***,,92
1442,Prince Dr. K Vasudevan College of Engineering and Technology, Chennai  ,ARTIFICIAL INTELLIGENCE AND,178.5,173,168.845,164,160,115.5,
1452,PERI Institute of Technology, Chennai  ,ARTIFICIAL INTELLIGENCE AND,133.5,117.5,102.5,96.5,,,
1504,Arunai Engineering College, Thiruvannamalai  ,ARTIFICIAL INTELLIGENCE AND,158.5,130.5,124.5,142,***,,
1505,C Abdul Hakeem College of Engineering and Technology, Ranipet  ,ARTIFICIAL INTELLIGENCE AND,152.5,130.5,148.5,126,***,,
1507,Ganadipathy Tulsi's Jain Engineering College, Vellore  ,ARTIFICIAL INTELLIGENCE AND,134,111,130,111.5,88.5,,
1509,Meenakshi College of Engineering, Chennai  ,ARTIFICIAL INTELLIGENCE AND,154,138,134.5,140.5,110.5,102.5,
1512,S K P Engineering College, Thiruvannamalai  ,ARTIFICIAL INTELLIGENCE AND,139,106,,112.5,***,,
1520,Kingston Engineering College, Vellore  ,ARTIFICIAL INTELLIGENCE AND,155.5,144,124,140,126.5,105,
1523,Global Institute of Engineering and Technology, Ranipet  ,ARTIFICIAL INTELLIGENCE AND,128.5,***,,114.5,,,
2025,Anna University Regional Campus - Coimbatore, Coimbatore  ,ARTIFICIAL INTELLIGENCE AND,185,179.5,168,177,161,170,166.5
2302,Sri Shanmugha College of Engineering and Technology, Salem  ,ARTIFICIAL INTELLIGENCE AND,131,***,,106.5,***,122,
2314,Muthayammal College of Engineering, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,109,***,,***,,105.5,
2327,N S N College of Engineering and Technology, Karur  ,ARTIFICIAL INTELLIGENCE AND,107,***,,***,***,---,
2329,Rathinam Technical Campus (Autonomous), Coimbatore  ,ARTIFICIAL INTELLIGENCE AND,170,158.5,162.5,152,118.5,126,
2338,Asian College of Engineering and Technology, Coimbatore  ,ARTIFICIAL INTELLIGENCE AND,129,***,,***,110,108,
2342,Sri Ranganathar Institute of Engineering and Technology, Coimbatore  ,ARTIFICIAL INTELLIGENCE AND,141,130,108,109.5,115.5,,
