2702,Bannari Amman Institute of Technology, Erode,CIVIL ENGINEERING,155,149,154,148,85,0,0
2704,Coimbatore Institute of Engineering and Technology, Coimbatore,CIVIL ENGINEERING,119,0,0,0,0,0,0
2706,Dr. Mahalingam College of Engineering and Technology, Coimbatore,CIVIL ENGINEERING,125.5,106,96,0,0,0,0
2707,Erode Sengunthar Engineering College, Erode,CIVIL ENGINEERING,116.5,0,0,86,0,0,0
2708,Hindusthan College of Engineering and Technology, Coimbatore,CIVIL ENGINEERING,129.5,102,0,94.5,0,0,0
2709,Government College of Engineering, Erode,CIVIL ENGINEERING,153,145.5,151,145,135,139,
2710,Karpagam College of Engineering, Coimbatore,CIVIL ENGINEERING,144,132.5,122,132,0,116,0
2711,Kongu Engineering College, Erode,CIVIL ENGINEERING,153,143,135.5,126.5,0,0,0
2712,Kumaraguru College of Technology, Coimbatore,CIVIL ENGINEERING,169,162,161,156.5,133.5,125.5,116
2715,Nandha Engineering College, Erode,CIVIL ENGINEERING,111,0,90,98,0,0,0
2718,Sri Krishna College of Engineering and Technology, Coimbatore,CIVIL ENGINEERING,163,153,159,145.5,129.5,126,143
2719,Sri Ramakrishna Engineering College, Coimbatore,CIVIL ENGINEERING,138.5,129.5,0,118.5,0,108.5,0
2722,Sri Krishna College of Technology, Coimbatore,CIVIL ENGINEERING,147.5,142.5,146.5,132,109.5,108.5,0
2723,Velalar College of Engineering and Technology, Erode,CIVIL ENGINEERING,131.5,118,108,113,106.5,0,0
2726,SNS College of Technology, Coimbatore,CIVIL ENGINEERING,123.5,0,0,0,0,0,0
2727,Sri Shakthi Institute of Engineering and Technology, Coimbatore,CIVIL ENGINEERING,129.5,0,115,102.5,0,0,0
2736,Dr. N G P Institute of Technology, Coimbatore,CIVIL ENGINEERING,130.5,123.5,0,117,0,0,0
2743,Dhanalakshmi Srinivasan College of Engineering, Coimbatore,CIVIL ENGINEERING,105,0,0,0,0,0,0
2755,Nehru Institute of Technology, Coimbatore,CIVIL ENGINEERING,118,0,0,93,0,0,0
2763,Akshaya College of Engineering and Technology, Coimbatore,CIVIL ENGINEERING,94,0,0,0,0,0,0
2764,K P R Institute of Engineering and Technology, Coimbatore,CIVIL ENGINEERING,160.5,153.5,137,140,121,122,
2776,R V S Technical Campus, Coimbatore,CIVIL ENGINEERING,111,0,0,0,88,98.5,0
3011,University College of Engineering Tiruchirappalli, Tiruchirappalli,CIVIL ENGINEERING,139.5,101,119.5,0,115,115,135.5
3410,Krishnasamy College of Engineering and Technology, Cuddalore,CIVIL ENGINEERING,101,0,0,0,0,0,0
3425,C K College of Engineering and Technology, Cuddalore,CIVIL ENGINEERING,103,0,0,0,0,0,0
3464,Government College of Engineering, Thanjavur,CIVIL ENGINEERING,134.5,0,125,112,113.5,120,0
3465,Government College of Engineering Srirangam, Tiruchirappalli,CIVIL ENGINEERING,140,118.5,131.5,116,101,130.5,128
